"BARRIO","COMUNA","NUM_ACCIDENTES","HERIDOS","ATROPELLOS","RIESGO_NUMERICO","RIESGO"
"Inst","La Candelaria",19,3,0,2,"Bajo"
"9086","Corregimiento de Santa Elena",2,2,0,2,"Bajo"
"Suburbano Potrerito","Corregimiento de San Antonio de Prado",1,1,1,2,"Bajo"
"San José de la Montaña","Corregimiento de San Cristóbal",2,1,0,2,"Bajo"
"Nueva Villa de La Iguaná","Robledo",1,1,1,2,"Bajo"
"San Javier","San Javier",2,0,1,2,"Bajo"
"Laureles Estadio","Laureles Estadio",7,0,4,2,"Bajo"
"Manrique","Manrique",3,0,2,2,"Bajo"
"San Antonio de Prado","Corregimiento de San Antonio de Prado",4,0,2,2,"Bajo"
"Campo Valdés No.1","Manrique",1,0,1,2,"Bajo"
"Corregimiento de Santa Elena","Corregimiento de Santa Elena",1,0,0,2,"Bajo"
"Suburbano El Llano","Corregimiento de San Cristóbal",21,4,2,2,"Bajo"
"Naranjal","Corregimiento de San Cristóbal",2709,0,0,3,"Alto"
"El Uvito","Corregimiento de San Cristóbal",1,1,0,2,"Bajo"
"7001","Corregimiento de Altavista",11,8,3,2,"Bajo"
"9004","Corregimiento de Santa Elena",2,1,0,2,"Bajo"
"Sin Nombre","San Javier",1,0,0,2,"Bajo"
"0","Robledo",2,0,0,2,"Bajo"
"Volcana Guayabal","Corregimiento de San Sebastián de Palmitas",1,1,0,2,"Bajo"
"El Plan","Corregimiento de Santa Elena",1,1,0,2,"Bajo"
"Cabecera Urbana Corregimiento San Cristóbal","Corregimiento de San Cristóbal",2,1,1,2,"Bajo"
